wvls,ingap_qe,ingaas_qe,ge_qe
776.4941569282137,0.002694239948496839,0.8448606831174816,0.009048939384802623
779.1819699499165,0.0026607632008504327,0.8450840332667332,0.009719118388835941
781.8697829716194,0.0026245058078824346,0.8443234471717951,0.010375664591611072
784.5575959933223,0.002587905621411836,0.8422376098377321,0.011041488271527145
787.2454090150251,0.0025498404729795135,0.83879905628175,0.011785351132319214
789.9332220367279,0.002514537989198157,0.8347982577727946,0.01245826532789449
792.6210350584307,0.002480835273167116,0.8306433329910962,0.0133093948264004
795.3088480801337,0.002445241956706342,0.8266341228121306,0.01420897728315896
797.9966611018365,0.00240189219369639,0.8224302183099239,0.015217116524284586
800.6844741235393,0.0023525299010023547,0.8177885006708375,0.016121791511209446
803.3722871452421,0.002297967696041563,0.8123448627193014,0.017049304628127482
806.060100166945,0.002241273227713658,0.8063432276088477,0.018031982641272638
808.7479131886478,0.0021860071441754934,0.8002110561606774,0.019129692115222228
811.4357262103507,0.0021394727340490935,0.7947897652545364,0.02030293765792948
814.1235392320535,0.002102912592808978,0.7906472456188968,0.02157333345759401
816.8113522537564,0.0020708845595066028,0.7874963107963647,0.02303182628622454
819.4991652754592,0.0020364471387729743,0.784693898424321,0.024738892327530577
822.186978297162,0.0019973293234098197,0.7817894549304186,0.026560974431111713
824.8747913188648,0.0019503261756571735,0.7782723351729522,0.028486742585296772
827.5626043405678,0.0018940004895739387,0.7741576890898996,0.030650143194299772
830.2504173622706,0.0018315043456764856,0.7700418596953921,0.03325311651598639
832.9382303839734,0.001774596777698241,0.7671361428916171,0.03612326225136604
835.6260434056762,0.0017288598227676649,0.7659221885622004,0.039318204667629225
838.313856427379,0.001693755167894333,0.7657680658924463,0.042983352240152074
841.0016694490819,0.0016579726760827412,0.7646957583034301,0.047615249587140064
843.6894824707847,0.0016221836581195976,0.7622387377359909,0.05266038533524303
846.3772954924875,0.0015829772487903977,0.7580609828585065,0.058118489066502105
849.0651085141905,0.0015363937301752068,0.7520847310256206,0.06400325900827977
851.7529215358933,0.0014669548767938041,0.7428710505394907,0.07206037924695638
854.4407345575961,0.0013880860903106727,0.7327025505859724,0.08129847698283107
857.1285475792989,0.0013042217707681751,0.7226349505463415,0.09180524740992073
859.8163606010017,0.0012194391629219415,0.7129892346005319,0.10383893913055528
862.5041736227046,0.0011191845404729859,0.6993303245627595,0.12115236772646223
865.1919866444074,0.0010074015341027694,0.6789114695564273,0.145246857853275
867.8797996661103,0.0009036101489373695,0.6525527616266837,0.17360443927999197
870.5676126878132,0.0008082445530236392,0.6178970808331007,0.20631933509362999
873.255425709516,0.0007193554544107074,0.5737002655770049,0.2436519235919547
875.9432387312188,0.0005793565907767921,0.49248781579153145,0.3119514240751786
878.6310517529216,0.0004367250046826924,0.39137890819984894,0.39757195050938615
881.3188647746244,0.00028382569264908455,0.26824324961025336,0.5073470344872356
884.0066777963273,0.00011531403708268497,0.11688929860496827,0.6533393231215304
886.6944908180301,6.22788980893242e-33,2.092332436634099e-24,0.7805394436939582
889.382303839733,6.07015854235129e-33,2.039340772448626e-24,0.8013768677649604
892.0701168614358,6.213275030052098e-33,2.087422430702126e-24,0.8158015464571019
894.7579298831387,6.824194539305438e-33,2.2926679865162334e-24,0.8159895811353733
897.4457429048415,8.125220547828695e-33,2.7297628937885955e-24,0.8001936463801635
900.1335559265443,7.713925746842066e-33,2.5915835939735895e-24,0.7741333950917629
902.8213689482471,8.121150765614729e-33,2.7283956028445415e-24,0.7474094392902063
905.50918196995,6.969786059855365e-33,2.341581161008913e-24,0.7285016049370336
908.1969949916529,8.349735599869227e-33,2.8051913519516216e-24,0.7212952766088759
910.8848080133557,8.317084744844727e-33,2.7942219152487414e-24,0.7270458556047517
913.5726210350585,8.765874122182443e-33,2.944997956609288e-24,0.7440316969390224
916.2604340567614,8.893122988377307e-33,2.9877487017946892e-24,0.7674930617385123
918.9482470784642,7.475951001209554e-33,2.5116331942936686e-24,0.7895705304119517
921.636060100167,7.472052457403148e-33,2.5103234328958218e-24,0.8014679405862306
924.3238731218698,7.567839579754704e-33,2.5425042371901665e-24,0.7983908384603533
927.0116861435727,6.902158556110119e-33,2.3188609100032153e-24,0.7813435820118718
929.6994991652756,1.154767727371328e-32,3.879577267555169e-24,0.755076564466791
932.3873121869784,1.9204392462999272e-32,6.4519403054552054e-24,0.7283226223148597
935.0751252086812,2.200625967098168e-32,7.393260370880054e-24,0.7086148027818915
937.7629382303841,2.793483832985643e-32,9.38503572523988e-24,0.7002563735300892
940.4507512520869,1.2515314980936716e-32,4.204666474950908e-24,0.7046007772313709
943.1385642737897,1.906519908904751e-32,6.405176663159207e-24,0.7200933732572999
945.8263772954925,2.363128474722666e-32,7.939206555171007e-24,0.7435879979049764
948.5141903171955,1.367748956162245e-32,4.595112620724516e-24,0.7697446575929691
951.2020033388983,1.1992348746848175e-32,4.028969850826564e-24,0.791590981917932
953.889816360601,1.268239931391337e-32,4.260800411206334e-24,0.8031245126790431
956.5776293823038,1.780317289484343e-32,5.9811841997363945e-24,0.8015912834169143
959.2654424040066,1.3557024883394413e-32,4.554641102849601e-24,0.7884621707249337
961.9532554257095,1.179739454387372e-32,3.963472705717067e-24,0.769018752844192
964.6410684474123,1.0681349604624023e-32,3.588524352619317e-24,0.7494930273275084
967.3288814691151,9.414025406592132e-33,3.162751962833254e-24,0.7350641197736163
970.0166944908182,8.143448346385694e-33,2.7358867359469038e-24,0.728953291214046
972.704507512521,8.191401261022736e-33,2.751997078583719e-24,0.7324572469797365
975.3923205342238,8.836565383759645e-33,2.968747512899193e-24,0.745104321857176
978.0801335559266,8.325001546166967e-33,2.796881657265556e-24,0.7647093300504155
980.7679465776295,7.442985333542791e-33,2.5005579926008676e-24,0.7875468178146904
983.4557595993323,7.297602528288901e-33,2.451714938453492e-24,0.8087644934285019
986.1435726210351,6.799526398337996e-33,2.2843804359844923e-24,0.8236643597049702
988.8313856427379,6.804172346088169e-33,2.2859412964805554e-24,0.8289505229777704
991.5191986644408,6.734981101579079e-33,2.2626956884722356e-24,0.8241465453555762
